productid	productndc	producttypename	proprietaryname	proprietarynamesuffix	nonproprietaryname	dosageformname	routename	startmarketingdate	endmarketingdate	marketingcategoryname	applicationnumber	labelername	substancename	active_numerator_strength	active_ingred_unit	pharm_classes	deaschedule	ndcpackagecode	packagedescription	fmtPackageCode
11410-611_58b711c9-e78c-4f3f-81f9-9dbbb08edc14	11410-611	HUMAN OTC DRUG	Proactiv Solution Advanced Daily Oil Control		SALICYLIC ACID	LOTION	TOPICAL	20120301	NA	OTC MONOGRAPH FINAL	part333D	Guthy-Renker LLC	SALICYLIC ACID	.5	mg/100mL			11410-611-17	1 TUBE in 1 BOX (11410-611-17)  > 50 mL in 1 TUBE	5-3-2 format
11523-0259_38e247be-fecc-4d26-89ad-5969b4e62610	11523-0259	HUMAN OTC DRUG	Mexsana	Medicated	Starch, Corn	POWDER	TOPICAL	19930923	NA	OTC MONOGRAPH FINAL	part347	MSD Consumer Care, Inc.	STARCH, CORN	837	mg/g			11523-0259-2	177 g in 1 PACKAGE (11523-0259-2) 	5-4-1 format
11673-194_3fa9940c-8f63-4490-a049-f6d4aefcf08b	11673-194	HUMAN OTC DRUG	NICOTINE	TRANSDERMAL SYSTEM	nicotine	PATCH, EXTENDED RELEASE	TRANSDERMAL	20000216	NA	NDA	NDA020165	Target Corporation	NICOTINE	21	mg/24h			11673-194-01	7 PACKET in 1 CARTON (11673-194-01)  > 24 h in 1 PACKET	5-3-2 format
12546-109_7474a61d-81b7-4a71-8052-a2e1bd0df84b	12546-109	HUMAN OTC DRUG	Halls	Cherry	Menthol	LOZENGE	ORAL	20131001	NA	OTC MONOGRAPH FINAL	part341	Mondelez Global LLC	MENTHOL	5.8	mg/1			12546-109-16	16 LOZENGE in 1 BAG (12546-109-16) 	5-3-2 format
12634-783_d1473f26-2631-4493-87ef-8328b12e8e1a	12634-783	HUMAN PRESCRIPTION DRUG	Hydrocodone Bitartrate and Acetaminophen		Hydrocodone Bitartrate and Acetaminophen	TABLET	ORAL	20060502	NA	ANDA	ANDA081080	Apotheca Inc.	ACETAMINOPHEN; HYDROCODONE BITARTRATE	500; 7.5	mg/1; mg/1	Opioid Agonist [EPC],Opioid Agonists [MoA]	CIII	12634-783-85	15 TABLET in 1 BOTTLE (12634-783-85) 	5-3-2 format
16590-117_0ed92691-c14e-4155-a631-cc631ce05a8d	16590-117	HUMAN PRESCRIPTION DRUG	HYDROCODONE BITARTRATE AND ACETAMINOPHEN		HYDROCODONE BITARTRATE AND ACETAMINOPHEN	TABLET	ORAL	19910830	NA	ANDA	ANDA081083	STAT Rx USA LLC	ACETAMINOPHEN; HYDROCODONE BITARTRATE	750; 7.5	mg/1; mg/1	Opioid Agonist [EPC],Opioid Agonists [MoA]	CIII	16590-117-90	90 TABLET in 1 BOTTLE (16590-117-90) 	5-3-2 format
16590-202_5dd52998-a60b-47d1-a224-a9248e8d0e3a	16590-202	HUMAN PRESCRIPTION DRUG	Rimantadine Hydrochloride		Rimantadine Hydrochloride	TABLET, FILM COATED	ORAL	20050401	NA	ANDA	ANDA076132	STAT Rx USA LLC	RIMANTADINE HYDROCHLORIDE	100	mg/1	Influenza A M2 Protein Inhibitor [EPC],M2 Protein Inhibitors [MoA]		16590-202-14	14 TABLET, FILM COATED in 1 BOTTLE (16590-202-14) 	5-3-2 format
16590-660_67b832fa-70b1-4cb4-8b33-fc453939f56a	16590-660	HUMAN PRESCRIPTION DRUG	KADIAN		MORPHINE SULFATE	CAPSULE, EXTENDED RELEASE	ORAL	20090407	NA	NDA	NDA020616	STAT RX USA LLC	MORPHINE SULFATE	30	mg/1	Full Opioid Agonists [MoA],Opioid Agonist [EPC]	CII	16590-660-60	60 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (16590-660-60) 	5-3-2 format
17089-384_476227d3-4b67-4273-8b61-9d0ef3edc39e	17089-384	HUMAN OTC DRUG	GUNA-IL 6		INTERLEUKIN-6	SOLUTION/ DROPS	ORAL	20080617	NA	UNAPPROVED HOMEOPATHIC		Guna spa	INTERLEUKIN-6	4	[hp_C]/30mL			17089-384-18	1 BOTTLE, DROPPER in 1 BOX (17089-384-18)  > 30 mL in 1 BOTTLE, DROPPER	5-3-2 format
21695-187_d7a27e38-0553-4d4b-8438-fed235e9b989	21695-187	HUMAN PRESCRIPTION DRUG	GENTAMICIN SULFATE		gentamicin sulfate	SOLUTION	OPHTHALMIC	19841010	NA	ANDA	ANDA062452	Rebel Distributors Corp	GENTAMICIN SULFATE	3	mg/mL	Aminoglycoside Antibacterial [EPC],Aminoglycosides [Chemical/Ingredient]		21695-187-15	15 mL in 1 BOTTLE, DROPPER (21695-187-15) 	5-3-2 format
21695-271_64970a9e-6ab7-410d-820f-7e2c0e4dc494	21695-271	HUMAN PRESCRIPTION DRUG	Hydrocodone Bitartrate and Acetaminophen		Hydrocodone Bitartrate and Acetaminophen	TABLET	ORAL	20100210	NA	ANDA	ANDA040769	Rebel Distributors Corp.	ACETAMINOPHEN; HYDROCODONE BITARTRATE	750; 7.5	mg/1; mg/1	Opioid Agonist [EPC],Opioid Agonists [MoA]	CIII	21695-271-12	12 TABLET in 1 BOTTLE (21695-271-12) 	5-3-2 format
21695-422_19df63de-9f44-40ce-9a4f-0c96345b8a23	21695-422	HUMAN PRESCRIPTION DRUG	Ciprofloxacin		Ciprofloxacin	INJECTION	INTRAVENOUS	20060828	NA	ANDA	ANDA077782	Rebel Distributors Corp	CIPROFLOXACIN	10	mg/mL	Quinolone Antimicrobial [EPC],Quinolones [Chemical/Ingredient]		21695-422-01	20 mL in 1 VIAL (21695-422-01) 	5-3-2 format
24533-001_44459b17-e96b-41be-a0b6-934ea7181797	24533-001	HUMAN PRESCRIPTION DRUG	Oxygen		Oxygen	GAS	RESPIRATORY (INHALATION)	20111128	NA	UNAPPROVED MEDICAL GAS		Melo's Gas and Gear, Inc.	OXYGEN	990	mL/L			24533-001-02	255 L in 1 CYLINDER (24533-001-02) 	5-3-2 format
27808-007_7e1cdb78-1596-4349-b87c-bd27dac70e78	27808-007	HUMAN OTC DRUG	Concentrated Ibuprofen		Concentrated Ibuprofen	SUSPENSION	ORAL	20121106	NA	ANDA	ANDA079058	Tris Phrama Inc	IBUPROFEN	50	mg/1.25mL			27808-007-02	30 mL in 1 BOTTLE, PLASTIC (27808-007-02) 	5-3-2 format
30142-337_430a811b-12ad-4905-92c2-bed945c0db48	30142-337	HUMAN OTC DRUG	stomach relief		Bismuth subsalicylate	LIQUID	ORAL	19900915	NA	OTC MONOGRAPH FINAL	part335	Kroger Company	BISMUTH SUBSALICYLATE	525	mg/15mL			30142-337-34	236 mL in 1 BOTTLE (30142-337-34) 	5-3-2 format
30142-900_948785e9-ff77-4008-abee-7797200390b8	30142-900	HUMAN OTC DRUG	Kroger	Burn Relief Aloe	LIDOCAINE HYDROCHLORIDE	GEL	TOPICAL	20121119	NA	OTC MONOGRAPH NOT FINAL	part348	THE KROGER CO	LIDOCAINE HYDROCHLORIDE	.5	g/100g			30142-900-16	226 g in 1 BOTTLE, PLASTIC (30142-900-16) 	5-3-2 format
30805-006_50eebc94-9e59-44a2-bfcc-85c5652df7bd	30805-006	HUMAN OTC DRUG	Symmetry Antimicrobial Foaming Hand Wash		Chloroxylenol	LIQUID	TOPICAL	20071116	NA	OTC MONOGRAPH NOT FINAL	part333A	Buckeye International, Inc.	CHLOROXYLENOL	.3	mL/100mL			30805-006-03	2000 mL in 1 BAG (30805-006-03) 	5-3-2 format
33261-064_db694f6b-8c95-4f66-9b6e-5ab64d416abe	33261-064	HUMAN PRESCRIPTION DRUG	Ketoprofen		Ketoprofen	CAPSULE	ORAL	19930101	NA	ANDA	ANDA073517	Aidarex Pharmaceuticals LLC	KETOPROFEN	75	mg/1	Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]		33261-064-97	126 CAPSULE in 1 BOTTLE, PLASTIC (33261-064-97) 	5-3-2 format
34645-2720_972a33ae-d490-42d4-8f1e-6794cca7f185	34645-2720	HUMAN OTC DRUG	PCMX Surgical Scrub		Chloroxylenol	SPONGE	TOPICAL	20100101	NA	OTC MONOGRAPH FINAL	part333	Jiangsu Province JianErKang Medical Dressing Co. ,Ltd.	CHLOROXYLENOL	.033	mL/mL			34645-2720-7	20 mL in 1 POUCH (34645-2720-7) 	5-4-1 format
34666-002_3332bff9-00e3-4f1d-b71e-36728d7793bc	34666-002	HUMAN OTC DRUG	APETYL	Syrup	Avena sativa 3X, China officinalis 3X and Hydrastis canadensis 3X	SYRUP	ORAL	20090730	NA	UNAPPROVED HOMEOPATHIC		Nartex Laboratorios Homeopaticos, S.A. De C.V.	AVENA SATIVA POLLEN; CINCHONA OFFICINALIS; HYDRASTIS CANADENSIS EXTRACT	3; 3; 3	[HP_X]/240mL; [HP_X]/240mL; [HP_X]/240mL			34666-002-80	240 mL in 1 BOTTLE (34666-002-80) 	5-3-2 format
35356-501_31b420ab-d475-47bd-8c3b-a7493dbb784a	35356-501	HUMAN PRESCRIPTION DRUG	Soma		Carisoprodol	TABLET	ORAL	20070901	NA	NDA	NDA011792	Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC	CARISOPRODOL	250	mg/1	Centrally-mediated Muscle Relaxation [PE],Muscle Relaxant [EPC]	CIV	35356-501-30	30 TABLET in 1 BOTTLE, PLASTIC (35356-501-30) 	5-3-2 format
36987-1127_0dacbc5b-587a-4c20-ad07-45caf841a3ba	36987-1127	HUMAN PRESCRIPTION DRUG	House Dust		House Dust	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	HOUSE DUST	.05	g/mL	Non-Standardized House Dust Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Allergens [Chemical/Ingredient],House Dust [Chemical/Ingredient]		36987-1127-3	30 mL in 1 VIAL, MULTI-DOSE (36987-1127-3) 	5-4-1 format
36987-1211_fb3d0fab-7ff8-4dc3-bbdd-937e9a9f50e4	36987-1211	HUMAN PRESCRIPTION DRUG	Flounder		Flounder	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	FLOUNDER	.05	g/mL	Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fish Proteins, Dietary [Chemical/Ingredient]		36987-1211-1	5 mL in 1 VIAL, MULTI-DOSE (36987-1211-1) 	5-4-1 format
36987-1282_dec580ea-73db-4658-9de1-440c19bb42b7	36987-1282	HUMAN PRESCRIPTION DRUG	Red Delicious Apple		Red Delicious Apple	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	APPLE	.05	g/mL	Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient],Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE]		36987-1282-3	30 mL in 1 VIAL, MULTI-DOSE (36987-1282-3) 	5-4-1 format
36987-1376_20425e8b-8db3-4a2b-813b-7e3e1bc1c4e6	36987-1376	HUMAN PRESCRIPTION DRUG	Tangerine		Tangerine	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	TANGERINE	.1	g/mL	Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]		36987-1376-2	10 mL in 1 VIAL, MULTI-DOSE (36987-1376-2) 	5-4-1 format
36987-1600_20425e8b-8db3-4a2b-813b-7e3e1bc1c4e6	36987-1600	HUMAN PRESCRIPTION DRUG	Papaya		Papaya	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	PAPAYA	.1	g/mL	Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Fruit Proteins [Chemical/Ingredient]		36987-1600-3	30 mL in 1 VIAL, MULTI-DOSE (36987-1600-3) 	5-4-1 format
36987-1657_255e0c54-6613-460b-a91f-452fdfd0319d	36987-1657	HUMAN PRESCRIPTION DRUG	Orange Pekoe Tea		Orange Pekoe Tea	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	TEA LEAF	.1	g/mL	Non-Standardized Plant Allergenic Extract [EPC],Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Plant Proteins [Chemical/Ingredient]		36987-1657-2	10 mL in 1 VIAL, MULTI-DOSE (36987-1657-2) 	5-4-1 format
36987-1695_c9d2ad91-0541-4504-a528-c0cc93a99e4e	36987-1695	HUMAN PRESCRIPTION DRUG	Ginger		Ginger	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	GINGER	.05	g/mL	Non-Standardized Plant Allergenic Extract [EPC],Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Plant Proteins [Chemical/Ingredient],Food Additives [Chemical/Ingredient]		36987-1695-3	30 mL in 1 VIAL, MULTI-DOSE (36987-1695-3) 	5-4-1 format
36987-1898_3fd958a1-76f3-4d4b-9233-7cf3da1c304b	36987-1898	HUMAN PRESCRIPTION DRUG	Aspergillus terreus		Aspergillus terreus	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	ASPERGILLUS TERREUS	.05	g/mL	Non-Standardized Fungal Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Fungal Proteins [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-1898-1	5 mL in 1 VIAL, MULTI-DOSE (36987-1898-1) 	5-4-1 format
36987-1920_42de87a6-4ad2-4dd1-ae19-915aec27f42c	36987-1920	HUMAN PRESCRIPTION DRUG	Acremonium strictum		Acremonium strictum	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	ACREMONIUM STRICTUM	10000	[PNU]/mL	Non-Standardized Fungal Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Fungal Proteins [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-1920-3	30 mL in 1 VIAL, MULTI-DOSE (36987-1920-3) 	5-4-1 format
36987-1949_0dbb0652-e487-4678-a747-b379f75821dc	36987-1949	HUMAN PRESCRIPTION DRUG	Chaetomium globosum		Chaetomium globosum	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	CHAETOMIUM GLOBOSUM	20000	[PNU]/mL	Non-Standardized Fungal Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Fungal Proteins [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-1949-2	10 mL in 1 VIAL, MULTI-DOSE (36987-1949-2) 	5-4-1 format
36987-2386_72e454d7-3ef9-4e04-bd95-d894fab0b155	36987-2386	HUMAN PRESCRIPTION DRUG	Italian Rye Grass		Italian Rye Grass	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	LOLIUM PERENNE SSP. MULTIFLORUM POLLEN	.05	g/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-2386-4	50 mL in 1 VIAL, MULTI-DOSE (36987-2386-4) 	5-4-1 format
36987-2529_2a72f629-5585-48e0-bd3f-7804035e57fb	36987-2529	HUMAN PRESCRIPTION DRUG	Beefwood/Australian Pine		Beefwood/Australian Pine	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	CASUARINA EQUISETIFOLIA POLLEN	40000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-2529-3	30 mL in 1 VIAL, MULTI-DOSE (36987-2529-3) 	5-4-1 format
36987-2845_0d62fd2a-d535-41ba-b17b-cf1e1f8b216b	36987-2845	HUMAN PRESCRIPTION DRUG	California Live Oak		California Live Oak	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	QUERCUS AGRIFOLIA POLLEN	10000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-2845-4	50 mL in 1 VIAL, MULTI-DOSE (36987-2845-4) 	5-4-1 format
36987-3072_e928d8e4-c564-4a56-b4b3-bd495ef410b6	36987-3072	HUMAN PRESCRIPTION DRUG	California Black Walnut		California Black Walnut	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	JUGLANS CALIFORNICA POLLEN	20000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Cell-mediated Immunity [PE],Increased IgG Production [PE],Increased Histamine Release [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-3072-1	5 mL in 1 VIAL, MULTI-DOSE (36987-3072-1) 	5-4-1 format
36987-3111_90c4b6c4-a7f2-4ba8-927c-8440e0df96f5	36987-3111	HUMAN PRESCRIPTION DRUG	Poplar		Poplar	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	POPULUS DELTOIDES POLLEN	20000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-3111-4	50 mL in 1 VIAL, MULTI-DOSE (36987-3111-4) 	5-4-1 format
36987-3139_bf187fab-306b-4406-bb41-ad8943ac78bf	36987-3139	HUMAN PRESCRIPTION DRUG	Allscale		Allscale	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	ATRIPLEX POLYCARPA POLLEN	.05	g/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-3139-3	30 mL in 1 VIAL, MULTI-DOSE (36987-3139-3) 	5-4-1 format
36987-3288_9e270517-2bc2-4a64-878b-972dfe8eb086	36987-3288	HUMAN PRESCRIPTION DRUG	Darkleaves Mugwort		Darkleaves Mugwort	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	ARTEMISIA LUDOVICIANA POLLEN	20000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-3288-1	5 mL in 1 VIAL, MULTI-DOSE (36987-3288-1) 	5-4-1 format
36987-3400_9e270517-2bc2-4a64-878b-972dfe8eb086	36987-3400	HUMAN PRESCRIPTION DRUG	Russian Thistle		Russian Thistle	INJECTION, SOLUTION	INTRADERMAL; SUBCUTANEOUS	19720829	NA	BLA	BLA102192	Nelco Laboratories, Inc.	SALSOLA KALI POLLEN	20000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		36987-3400-2	10 mL in 1 VIAL, MULTI-DOSE (36987-3400-2) 	5-4-1 format
37000-550_ba8e3705-8653-4d47-a926-6e1f0defade2	37000-550	HUMAN OTC DRUG	Vicks NyQuil	Cough	Dextromethorphan Hydrobromide and Doxylamine succinate	LIQUID	ORAL	20110622	NA	OTC MONOGRAPH FINAL	part341	The Procter & Gamble Manufacturing Company	DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE	30; 12.5	mg/30mL; mg/30mL			37000-550-08	236 mL in 1 BOTTLE, PLASTIC (37000-550-08) 	5-3-2 format
40042-049_243c0b7c-8011-4a94-8b25-0329de936439	40042-049	HUMAN PRESCRIPTION DRUG	Ofloxacin		Ofloxacin	SOLUTION	AURICULAR (OTIC)	20100121	NA	ANDA	ANDA090395	PharmaForce, Inc.	OFLOXACIN	3	mg/mL	Quinolone Antimicrobial [EPC],Quinolones [Chemical/Ingredient]		40042-049-05	1 BOTTLE, PLASTIC in 1 CARTON (40042-049-05)  > 5 mL in 1 BOTTLE, PLASTIC	5-3-2 format
41163-291_32d8ac56-fc77-462a-8d25-a0b409ee1659	41163-291	HUMAN OTC DRUG	Ibuprofen		Ibuprofen	TABLET, FILM COATED	ORAL	19880524	NA	OTC MONOGRAPH NOT FINAL	part343	SUPERVALU INC.	IBUPROFEN	200	mg/1			41163-291-29	1 BOTTLE, PLASTIC in 1 CARTON (41163-291-29)  > 150 TABLET, FILM COATED in 1 BOTTLE, PLASTIC	5-3-2 format
41250-987_bd86d5e2-f4e9-4c15-9a5c-15f91f10d743	41250-987	HUMAN OTC DRUG	cold and cough		Brompheniramine maleate, Dextromethorphan HBr, Phenylephrine HCl	LIQUID	ORAL	20060811	NA	OTC MONOGRAPH FINAL	part341	Meijer Distribution Inc	BROMPHENIRAMINE MALEATE; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE	1; 5; 2.5	mg/5mL; mg/5mL; mg/5mL			41250-987-34	1 BOTTLE in 1 CARTON (41250-987-34)  > 237 mL in 1 BOTTLE	5-3-2 format
42023-131_00a2d319-ab97-45d6-a8b9-b671c9d6bae6	42023-131	HUMAN PRESCRIPTION DRUG	Colistimethate		colistimethate sodium	INJECTION	INTRAMUSCULAR; INTRAVENOUS	20120601	NA	NDA AUTHORIZED GENERIC	NDA050108	JHP Pharmaceuticals, LLC	COLISTIMETHATE SODIUM	150	mg/2mL	Polymyxin-class Antibacterial [EPC],Polymyxins [Chemical/Ingredient]		42023-131-01	1 VIAL in 1 CARTON (42023-131-01)  > 2 mL in 1 VIAL	5-3-2 format
42254-068_68723240-fed0-4ba7-bb7a-fac3de2398c9	42254-068	HUMAN PRESCRIPTION DRUG	Carisoprodol		Carisoprodol	TABLET	ORAL	20070227	NA	ANDA	ANDA040755	Rebel Distributors Corp	CARISOPRODOL	350	mg/1	Centrally-mediated Muscle Relaxation [PE],Muscle Relaxant [EPC]		42254-068-90	90 TABLET in 1 BOTTLE (42254-068-90) 	5-3-2 format
42254-141_a0f84fac-3f7c-45c0-a2e8-ce39fb2bd630	42254-141	HUMAN OTC DRUG	Enteric Coated Aspirin		Aspirin	TABLET, DELAYED RELEASE	ORAL	20110920	NA	OTC MONOGRAPH FINAL	part343	Rebel Distributors Corp	ASPIRIN	325	mg/1			42254-141-30	30 TABLET, DELAYED RELEASE in 1 BOTTLE (42254-141-30) 	5-3-2 format
42549-548_4138a333-8c31-4ec2-a553-3dae90076473	42549-548	HUMAN PRESCRIPTION DRUG	Zolpidem Tartrate		zolpidem tartrate	TABLET, FILM COATED	ORAL	20081121	NA	ANDA	ANDA078616	STAT Rx USA LLC	ZOLPIDEM TARTRATE	10	mg/1	gamma-Aminobutyric Acid-ergic Agonist [EPC],GABA A Agonists [MoA],Pyridines [Chemical/Ingredient],Central Nervous System Depression [PE]	CIV	42549-548-60	60 TABLET, FILM COATED in 1 BOTTLE (42549-548-60) 	5-3-2 format
42747-327_2cab8dd1-3a10-48e6-86ce-0e5275ed49e5	42747-327	HUMAN PRESCRIPTION DRUG	Fareston		toremifene citrate	TABLET	ORAL	19970630	NA	NDA	NDA020497	ProStrakan, Inc.	TOREMIFENE CITRATE	60	mg/1	Estrogen Agonist/Antagonist [EPC],Selective Estrogen Receptor Modulators [MoA]		42747-327-30	30 TABLET in 1 BOTTLE (42747-327-30) 	5-3-2 format
42751-1070_a07b5b9a-5739-442e-978f-e7f2c77b4946	42751-1070	HUMAN PRESCRIPTION DRUG	Nitrous Oxide		Nitrous Oxide	GAS	RESPIRATORY (INHALATION)	20080206	NA	UNAPPROVED MEDICAL GAS		Fullerton Welding Supply	NITROUS OXIDE	99	L/100L			42751-1070-1	19.85 L in 1 CYLINDER (42751-1070-1) 	5-4-1 format
42961-002_93bfd39a-a073-472c-a828-dbab16b9d306	42961-002	HUMAN OTC DRUG	Instant Hand Sanitizer		Alcohol	LIQUID	TOPICAL	20080422	NA	OTC MONOGRAPH NOT FINAL	part333A	Cintas Corp.	ALCOHOL	62	mL/100mL			42961-002-03	1000 mL in 1 BOTTLE, PLASTIC (42961-002-03) 	5-3-2 format
43063-050_a00ba320-5cc2-4c65-95ce-543860678746	43063-050	HUMAN PRESCRIPTION DRUG	Cyclobenzaprine Hydrochloride		Cyclobenzaprine Hydrochloride	TABLET	ORAL	20100218	NA	ANDA	ANDA078218	PD-Rx Pharmaceuticals, Inc.	CYCLOBENZAPRINE HYDROCHLORIDE	10	mg/1	Centrally-mediated Muscle Relaxation [PE],Muscle Relaxant [EPC]		43063-050-06	6 TABLET in 1 BOTTLE, PLASTIC (43063-050-06) 	5-3-2 format
43269-652_7e5dd155-ce15-4dba-a1e1-b5accd37e645	43269-652	HUMAN OTC DRUG	Mandarin Orange Antibacterial Foaming Hand Wash		Triclosan	LIQUID	TOPICAL	20101102	NA	OTC MONOGRAPH NOT FINAL	part333E	SJ Creations, Inc.	TRICLOSAN	.2	mL/100mL			43269-652-01	709 mL in 1 BOTTLE, PUMP (43269-652-01) 	5-3-2 format
43269-865_88f01ed1-5227-4a53-b336-81b18f6e6b49	43269-865	HUMAN OTC DRUG	Lemon Fresh Antibacterial Foaming Hand Wash		Triclosan	LIQUID	TOPICAL	20130218	NA	OTC MONOGRAPH NOT FINAL	part333E	SJ Creations, Inc.	TRICLOSAN	2	mg/mL			43269-865-16	500 mL in 1 BOTTLE, PUMP (43269-865-16) 	5-3-2 format
